 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    31     1    31  2006       1       1  cha001               0.4895E+01     0.1665E+04     0.2272E+03     0.0000E+00     0.0000E+00     0.3026E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7730E+01     0.1806E-03     0.5533E+00     0.8411E+01     0.1301E+01     0.1681E+00     0.5047E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9381E-04     0.9054E-02     0.9381E-04     0.9381E-04     0.9381E-04     0.0000E+00     0.1388E+04     0.5300E-03     0.2428E+00     0.3490E+01     0.5396E+00     0.6625E-01     0.1985E-02     0.0000E+00     0.2878E-04     0.0000E+00     0.0000E+00     0.1939E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4782E+03     0.7730E+01
    31     1    31  2006       2       6  cha006               0.3575E+01     0.1138E+04     0.1756E+03     0.0000E+00     0.1933E+05     0.2037E-07     0.3686E-07     0.1106E-06     0.5972E+00     0.4180E-05     0.0000E+00     0.4143E-04     0.0000E+00     0.0000E+00     0.1333E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7273E+01     0.1432E-04     0.1145E-06     0.2073E-06     0.6218E-06     0.1559E+01     0.2073E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1145E-03     0.1145E-03     0.1145E-03     0.1145E-03     0.1145E-03     0.0000E+00     0.1639E+05     0.5742E-03     0.1797E-08     0.3253E-08     0.9760E-08     0.5147E-01     0.3738E-06     0.0000E+00     0.3705E-05     0.0000E+00     0.0000E+00     0.1081E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4158E+03     0.7730E+01
    31     1    31  2006       3      13  cha013               0.3363E+03     0.9450E+05     0.4227E+05     0.0000E+00     0.1603E+07     0.6764E-01     0.1193E+01     0.1845E+00     0.2636E+03     0.2331E-02     0.0000E+00     0.1771E-01     0.0000E+00     0.0000E+00     0.1588E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6781E+01     0.1303E+01     0.1171E+00     0.2063E+01     0.3188E+00     0.8400E+03     0.3560E-02     0.0000E+00     0.3608E-01     0.0000E+00     0.0000E+00     0.3466E+01     0.1165E-03     0.1165E-03     0.1165E-03     0.1165E-03     0.1165E-03     0.0000E+00     0.6254E+01     0.7118E+00     0.4887E-01     0.8582E+00     0.1326E+00     0.5098E+03     0.1918E-02     0.0000E+00     0.3205E-01     0.0000E+00     0.0000E+00     0.1871E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6158E+01     0.7730E+01
    31     1    31  2006       4      15  cha015               0.1612E+03     0.4530E+05     0.2183E+05     0.0000E+00     0.1022E+07     0.6278E-01     0.1113E+01     0.1721E+00     0.1179E+03     0.2333E-02     0.0000E+00     0.7622E-02     0.0000E+00     0.0000E+00     0.1019E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6781E+01     0.1680E+01     0.1803E+00     0.3183E+01     0.4920E+00     0.8242E+03     0.5959E-02     0.0000E+00     0.3624E-01     0.0000E+00     0.0000E+00     0.4480E+01     0.1536E-03     0.1536E-03     0.1536E-03     0.1536E-03     0.1536E-03     0.0000E+00     0.6333E+01     0.1302E+01     0.1171E+00     0.2063E+01     0.3188E+00     0.6851E+03     0.3540E-02     0.0000E+00     0.3608E-01     0.0000E+00     0.0000E+00     0.3466E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6254E+01     0.7730E+01
    31     1    31  2006       5      16  cha016               0.1489E+03     0.4132E+05     0.1994E+05     0.0000E+00     0.1713E+07     0.1301E+00     0.2316E+01     0.3582E+00     0.1695E+03     0.5102E-02     0.0000E+00     0.1104E-01     0.0000E+00     0.0000E+00     0.1708E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6594E+01     0.2316E+01     0.3110E+00     0.5509E+01     0.8518E+00     0.8890E+03     0.1102E-01     0.0000E+00     0.3990E-01     0.0000E+00     0.0000E+00     0.6198E+01     0.1841E-03     0.1841E-03     0.1841E-03     0.1841E-03     0.1841E-03     0.0000E+00     0.6246E+01     0.1680E+01     0.1803E+00     0.3183E+01     0.4920E+00     0.7151E+03     0.5942E-02     0.0000E+00     0.3620E-01     0.0000E+00     0.0000E+00     0.4480E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6160E+01     0.7730E+01
    31     1    31  2006       6      17  cha017               0.1630E+02     0.4522E+04     0.2181E+04     0.0000E+00     0.1159E+06     0.1134E-01     0.2033E+00     0.3144E-01     0.9481E+01     0.4665E-03     0.0000E+00     0.6565E-03     0.0000E+00     0.0000E+00     0.1159E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6594E+01     0.2358E+01     0.3224E+00     0.5713E+01     0.8834E+00     0.7865E+03     0.1169E-01     0.0000E+00     0.3974E-01     0.0000E+00     0.0000E+00     0.6303E+01     0.9062E-04     0.9062E-04     0.9062E-04     0.9062E-04     0.9062E-04     0.0000E+00     0.6252E+01     0.2315E+01     0.3110E+00     0.5509E+01     0.8517E+00     0.7768E+03     0.1101E-01     0.0000E+00     0.3989E-01     0.0000E+00     0.0000E+00     0.6198E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6246E+01     0.7730E+01
    31     1    31  2006       7      18  cha018               0.7353E+02     0.2021E+05     0.9982E+04     0.0000E+00     0.6005E+06     0.5944E-01     0.1066E+01     0.1649E+00     0.4862E+02     0.2450E-02     0.0000E+00     0.3364E-02     0.0000E+00     0.0000E+00     0.5998E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6526E+01     0.2580E+01     0.3821E+00     0.6785E+01     0.1049E+01     0.8223E+03     0.1423E-01     0.0000E+00     0.3946E-01     0.0000E+00     0.0000E+00     0.6904E+01     0.1807E-03     0.1807E-03     0.1807E-03     0.1807E-03     0.1807E-03     0.0000E+00     0.6215E+01     0.2358E+01     0.3224E+00     0.5713E+01     0.8834E+00     0.7726E+03     0.1168E-01     0.0000E+00     0.3974E-01     0.0000E+00     0.0000E+00     0.6303E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6189E+01     0.7730E+01
    31     1    31  2006       8      19  cha019               0.1403E+03     0.3818E+05     0.1901E+05     0.0000E+00     0.5876E+06     0.6142E-01     0.1105E+01     0.1710E+00     0.4522E+02     0.2560E-02     0.0000E+00     0.3133E-02     0.0000E+00     0.0000E+00     0.5870E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6440E+01     0.2802E+01     0.4443E+00     0.7903E+01     0.1222E+01     0.8190E+03     0.1717E-01     0.0000E+00     0.3567E-01     0.0000E+00     0.0000E+00     0.4706E+01     0.2584E-03     0.2584E-03     0.2584E-03     0.2584E-03     0.2584E-03     0.0000E+00     0.6157E+01     0.2579E+01     0.3821E+00     0.6785E+01     0.1049E+01     0.7722E+03     0.1422E-01     0.0000E+00     0.3946E-01     0.0000E+00     0.0000E+00     0.6904E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6134E+01     0.7730E+01
    31     1    31  2006       9      21  cha021               0.1706E+03     0.4645E+05     0.2312E+05     0.0000E+00     0.1674E+07     0.1811E+00     0.3270E+01     0.5057E+00     0.1224E+03     0.7600E-02     0.0000E+00     0.8078E-02     0.0000E+00     0.0000E+00     0.1267E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6440E+01     0.2236E+01     0.6268E+00     0.1120E+02     0.1732E+01     0.8328E+03     0.2435E-01     0.0000E+00     0.3530E-01     0.0000E+00     0.0000E+00     0.5824E+01     0.1091E-03     0.1091E-03     0.1091E-03     0.1091E-03     0.1091E-03     0.0000E+00     0.6185E+01     0.2801E+01     0.4443E+00     0.7903E+01     0.1222E+01     0.7080E+03     0.1715E-01     0.0000E+00     0.3561E-01     0.0000E+00     0.0000E+00     0.4705E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6157E+01     0.7730E+01
