 Model                     SWAT+ Mar 13 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    31     1    31  2006       1       1  cha001               0.1806E-03     0.0000E+00     0.5300E-03     0.1806E-03     0.5533E+00     0.5533E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2703E+03     0.4586E+01     0.1717E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6545E-04     0.0000E+00     0.1920E-03     0.1947E+00     0.1147E+00     0.1747E-01     0.4586E+01     0.2751E+05
    31     1    31  2006       2       6  cha006               0.1432E-04     0.0000E+00     0.5742E-03     0.1432E-04     0.1145E-06     0.1145E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1827E+03     0.3532E+01     0.2628E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9969E-05     0.0000E+00     0.3997E-03     0.1376E-07     0.1660E-02     0.1237E-07     0.3532E+01     0.1486E+05
    31     1    31  2006       3      13  cha013               0.1303E+01     0.0000E+00     0.7118E+00     0.1303E+01     0.1171E+00     0.1171E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1684E+03     0.3346E+01     0.9740E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1038E+01     0.0000E+00     0.5672E+00     0.8700E-02     0.1648E+02     0.4339E-02     0.3346E+01     0.2409E+04
    31     1    31  2006       4      15  cha015               0.1680E+01     0.0000E+00     0.1302E+01     0.1680E+01     0.1803E+00     0.1803E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1659E+03     0.3312E+01     0.9670E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1374E+01     0.0000E+00     0.1064E+01     0.9699E-02     0.2217E+02     0.1040E-01     0.3312E+01     0.2325E+04
    31     1    31  2006       5      16  cha016               0.2316E+01     0.0000E+00     0.1680E+01     0.2316E+01     0.3110E+00     0.3110E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1636E+03     0.3281E+01     0.1570E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1938E+01     0.0000E+00     0.1406E+01     0.2273E-01     0.2317E+02     0.1606E-01     0.3281E+01     0.9089E+03
    31     1    31  2006       6      17  cha017               0.2358E+01     0.0000E+00     0.2315E+01     0.2358E+01     0.3224E+00     0.3224E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1618E+03     0.3257E+01     0.1026E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2009E+01     0.0000E+00     0.1973E+01     0.2477E-02     0.2524E+02     0.2783E-01     0.3257E+01     0.2271E+04
    31     1    31  2006       7      18  cha018               0.2580E+01     0.0000E+00     0.2358E+01     0.2580E+01     0.3821E+00     0.3821E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1613E+03     0.3251E+01     0.6620E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2210E+01     0.0000E+00     0.2020E+01     0.1311E-01     0.2511E+02     0.2887E-01     0.3251E+01     0.1813E+04
    31     1    31  2006       8      19  cha019               0.2802E+01     0.0000E+00     0.2579E+01     0.2802E+01     0.4443E+00     0.4443E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1607E+03     0.3242E+01     0.2508E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2416E+01     0.0000E+00     0.2224E+01     0.1503E-01     0.2513E+02     0.3431E-01     0.3242E+01     0.5612E+04
    31     1    31  2006       9      21  cha021               0.2236E+01     0.0000E+00     0.2801E+01     0.2236E+01     0.6268E+00     0.6268E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1541E+03     0.3154E+01     0.2200E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2066E+01     0.0000E+00     0.2588E+01     0.4918E-01     0.2309E+02     0.3998E-01     0.3154E+01     0.1523E+04
