real_name,manna,bedk1,bedt1,bedt2,kaq1,sy1,cn3_swf0.3a,esco0.95a,lat_ttime0a,latq_co0.2a,perco0.05a,perco0.5a,awca1,awca3,awca5,awca6,bda1,bda2,bda3,bda4,bda5,bda6,ksola1,ksola2,ksola3,ksola6,zsola4,zsola5,zsola6,lat_lena1,lat_lenb1,surq_lag
0,0.0152235,8.98753e-06,0.40017,0.0314311,0.183608,0.0047546,0.8,0.100721,0.5,0.123387,0.581439,0.38079,0.206555,0.316443,0.0552,0.0819262,1.30587,1.41772,0.893,1.09628,0.998,1.60288,78.5922,12.5043,10.1406,9.47734,720,747.089,1651.46,90,14.4974,0.537037
1,0.0191445,5.50811e-06,0.393766,0.231068,0.411387,0.00608846,0.781273,0.362382,0.5,0.0533449,0.78125,0.370988,0.324029,0.954485,0.170992,0.0550746,1.29607,1.45513,0.893,0.963,1.03914,1.56885,21.1676,7.96248,7.6792,39.3408,718.77,868.106,2097.85,87.9002,12.7735,1.95003
2,0.0185615,7.17395e-06,0.214539,0.198674,0.333575,0.00538381,0.668953,0.0518508,0.5,0.0386784,0.541703,0.331395,0.766808,0.293397,0.0772045,0.0547,1.04845,1.23118,0.893,0.963,1.11997,1.43046,55.2868,19.611,14.3968,13.2424,660.276,884.467,1772.27,90,13.7906,0.797316
3,0.0111897,1.66518e-05,0.331876,0.0469273,0.20859,0.0041059,0.267746,0.0223881,0.518981,0.0361671,0.348024,0.27488,0.230891,0.270339,0.129387,0.0547,1.15768,1.45746,0.893,0.963,1.07682,1.44699,20.3,10.798,13.2339,30.5148,672.403,1061.67,1889.73,73.7489,9.65,0.321861
4,0.0142649,5.78581e-06,0.191182,0.421954,0.31319,0.00540469,0.8,0.221842,0.5,0.167003,0.59471,0.492074,0.143608,0.145683,0.0878588,0.0692576,1.34883,1.09739,0.893,0.963,1.08877,1.21125,32.1134,12.2298,13.703,7.11957,720,1066.02,1650,90,13.7293,0.384733
5,0.0191876,6.29092e-06,0.300041,0.113061,0.267934,0.00301371,0.8,0.593394,0.965697,0.0183535,0.872689,0.198523,1,0.0935017,0.11128,0.144822,1.13989,1.47866,1.03874,0.963,1.35068,1.1323,53.0999,10.1013,35.5416,116.927,720,854.333,1715.44,82.4764,12.2874,0.581947
6,0.0194184,1.01526e-05,0.381043,0.560044,0.23882,0.00540451,0.8,0.102818,0.5,0.0103452,0.660242,0.36311,0.393875,0.276205,0.0560956,0.0640572,0.980066,1.1816,0.893,0.963,1.24251,1.30223,63.3124,13.7667,13.6514,23.2072,659.444,1121.45,1936.34,86.0979,11.5941,0.575039
7,0.0185257,2.60466e-05,0.756249,0.144711,0.192647,0.00388434,0.8,0.25838,0.570694,0.0591015,0.443007,0.231921,0.926237,0.543551,0.0645547,0.0547,1.01529,0.840815,0.893,0.963,1.09538,1.85669,53.4326,44.8285,8.11926,10.1626,704.509,809.969,1914.72,90,11.6606,0.354645
8,0.0177885,1.96993e-05,0.290515,0.306427,0.169741,0.00385637,0.699264,0.125253,0.728668,0.1366,0.587663,0.447919,1,0.366599,0.158032,0.0547,1.21468,1.6309,0.893,1.24117,1.02308,1.30982,25.1321,12.7584,7.92479,55.1773,699.255,953.236,2025.39,90,13.6821,0.243375
9,0.0112929,1.61722e-05,0.411892,0.423917,0.221786,0.00562982,0.534905,0.051153,0.551902,0.0867946,0.743038,0.387614,0.321122,0.180357,0.126555,0.0547,0.911786,1.52987,1.00074,1.01095,1.02578,1.66175,20.512,27.8395,12.2894,8.09417,720,1024.52,1662.87,90,12.0823,0.483974
10,0.0221539,5.94647e-06,0.14645,0.865776,0.239116,0.00373482,0.8,0.278377,0.975197,0.0230307,0.695005,0.0900191,0.427414,0.575914,0.131264,0.0547,1.3602,1.09789,0.895869,0.963,1.29733,1.21439,22.816,7.01,9.13123,64.2698,720,823.419,1579.92,90,13.735,0.591632
11,0.016639,7.70001e-06,0.443264,0.0564198,0.277175,0.00797128,0.8,0.240237,0.621836,0.103379,0.40908,0.410525,0.162169,0.306211,0.0760619,0.0557806,1.22863,1.37266,0.893,0.963,1.06985,1.78577,28.342,33.0954,25.5733,10.4664,690.535,921.764,1822.5,83.5429,13.1227,0.395697
12,0.01,7.70259e-06,0.667785,0.652716,0.195731,0.00412436,0.44141,0.0227041,0.5,0.0298296,0.524122,0.321173,0.539105,0.196691,0.207847,0.0547,0.838725,0.932084,0.893,0.963,1.15628,1.38017,121.53,29.9311,12.2887,7.94161,720,958.293,1883.37,70.7557,8.04918,0.292079
13,0.0164742,7.8182e-06,0.356329,0.09241,0.154138,0.00415857,0.740352,0.032895,0.568565,0.0478457,0.675821,0.177397,0.651718,0.143264,0.0552,0.0547,0.98742,1.32226,0.893,0.963,1.51782,1.66803,82.6201,7.01,11.7035,18.4888,698.882,970.125,2144.74,84.2339,14.2282,0.722401
14,0.0261247,7.81945e-06,0.130707,0.134636,0.123205,0.00379369,0.400914,0.0472603,0.785198,0.0237543,0.560434,0.448227,0.792204,0.173926,0.0709459,0.0547,1.37934,0.815,0.893,1.02133,1.2376,1.76564,59.5557,8.54912,14.7197,31.8211,670.172,912.131,2201.23,90,12.3926,0.584646
15,0.0258817,1.13363e-05,0.704064,0.283297,0.246174,0.00396753,0.8,0.23896,0.574988,0.361135,0.713622,0.338565,0.999531,0.476502,0.0552,0.0547,0.962181,1.96518,0.893,0.963,1.20451,1.96656,16.0779,11.3949,9.07546,26.8214,551.879,859.464,2235.1,80.6876,14.4209,0.431474
16,0.028293,9.46567e-06,0.577685,0.172187,0.136229,0.0033029,0.758463,0.233664,0.5,0.103988,0.778952,0.110978,0.730786,0.734594,0.165516,0.0589743,1.24842,1.18051,1.13697,0.963,1.11435,1.24458,55.7322,24.6835,8.19106,34.2887,720,936.937,1633.13,77.2145,14.2151,1.53925
17,0.0157711,5e-06,0.312716,0.702555,0.219208,0.00594432,0.448748,0.0536183,1.13175,0.0609782,0.552663,0.493324,0.425475,0.133647,0.0881036,0.0547,0.803986,1.07585,1.04691,0.990336,1.07455,1.50652,88.9893,10.7879,10.2865,11.9668,666.737,1064.03,2220.13,82.7767,12.6176,0.261821
18,0.0157993,6.0184e-05,0.657694,0.0725107,0.244033,0.00380272,0.8,0.26813,0.5,0.0267964,0.633829,0.201363,0.62705,0.205879,0.30868,0.0547,0.941607,1.11331,0.893,0.963,1.39416,1.62235,31.7177,7.01,8.48129,15.634,720,988.891,1940.76,90,12.4411,0.629201
19,0.0244284,5.48177e-06,0.287673,0.157984,0.394151,0.00556609,0.8,0.139756,0.727412,0.0825636,0.782094,0.300292,0.424808,0.30941,0.24752,0.0547,0.765017,1.3475,0.893,0.963,1.06408,1.92691,93.938,17.6969,10.1753,5.73321,720,934.55,2089.78,80.3729,12.8279,0.408009
20,0.0111414,2.84703e-05,0.405964,1,0.0956996,0.00408364,0.712743,0.407551,0.5,0.0611007,0.681582,0.269598,0.622413,0.273601,0.0552,0.0547,1.11306,1.11382,1.13804,0.968975,1.06348,1.36813,54.8358,7.01,8.44737,30.7342,611.102,996.476,2125.94,84.1993,9.89269,0.577926
21,0.0339857,7.36399e-05,0.437408,0.823019,0.348636,0.00516886,0.524499,0.149793,0.5,0.01,0.62452,0.156428,0.395679,0.469539,0.109154,0.0547,0.881871,1.74156,0.893037,0.987113,1.19964,1.41229,21.2955,11.8835,8.48742,29.7387,589.237,866.451,1662.42,89.1367,13.1995,1.18119
22,0.0448323,1.20869e-05,0.178466,0.132862,0.292315,0.00365394,0.435836,0.0694063,0.5,0.181328,0.165358,0.0806704,0.363061,0.265241,0.0552,0.0547,1.06793,1.26472,0.893,0.963,1.13916,1.52265,18.0415,7.01,20.3156,20.8357,695.858,961.809,2118.05,90,14.3411,0.31306
23,0.0118873,5.64764e-05,0.578794,0.45276,0.511719,0.00632572,0.8,0.092067,2.07436,0.0485892,0.924703,0.203817,0.937599,0.3999,0.0871697,0.0547,1.02124,1.2353,1.05178,1.0456,1.12511,1.3984,45.2607,12.0968,17.3688,31.1342,720,766.788,1872.4,90,12.5942,0.321868
24,0.01,1.21833e-05,0.635757,0.84683,0.381311,0.00329639,0.552803,0.0172536,0.5,0.0859592,0.763346,0.183237,0.523752,0.16678,0.122374,0.0547,1.04245,0.815,0.893,0.963,1.06265,1.73306,17.1735,29.2231,10.648,35.4358,713.328,815.004,2114.73,90,13.8493,0.526384
25,0.0206256,5.78347e-06,0.413784,0.644932,0.64713,0.00364951,0.8,0.0795103,0.5,0.0398963,0.717265,0.0984061,0.877493,0.291092,0.129268,0.0547,0.76,1.0949,0.893,0.963,1.06573,1.68153,34.1387,25.7377,13.6018,17.1333,720,851.506,2297.24,80.1805,13.0763,0.39717
26,0.0208724,6.47731e-06,0.274389,0.144609,0.418272,0.0033898,0.617292,0.0755874,0.5,0.053944,0.185231,0.391474,0.194986,0.309818,0.0879806,0.0547,0.79994,1.14516,0.92279,0.963,1.08335,1.55699,29.8463,26.9416,17.3826,10.4243,720,897.812,2134.81,90,9.082,1.22705
27,0.0179536,5e-06,0.452446,0.739982,0.138719,0.00435037,0.8,0.118796,0.505657,0.0384688,0.524675,0.306462,0.352277,0.333312,0.0749383,0.0547,1.32916,0.900843,1.20325,1.04085,1.2297,1.48551,35.3629,7.01,12.6284,35.0061,705.663,974.483,2009.93,89.992,13.3584,0.731298
28,0.0148839,2.67225e-05,0.607184,0.510743,0.45574,0.00316641,0.8,0.0265089,0.5,0.01,0.162323,0.323326,0.271433,0.295738,0.125161,0.0656932,0.874089,1.32404,0.893,0.963,1.24943,1.28913,88.1214,13.8698,9.36557,19.1945,720,1124.56,1430.36,90,10.7766,0.497493
29,0.0250153,0.00021963,0.4599,0.255256,0.270348,0.0037213,0.56135,0.0784008,0.505317,0.0243297,0.828736,0.217021,0.480622,0.197854,0.227215,0.0547,0.900417,0.829052,0.893,1.08676,1.10275,1.95187,61.8667,27.3753,16.5427,19.9138,678.448,872.903,2214.96,90,13.4731,0.289106
30,0.0162594,1.24905e-05,0.568663,0.331594,0.453264,0.00401559,0.749099,0.126814,0.588426,0.0377926,0.722198,0.395489,0.439746,0.427585,0.0903506,0.0547,0.90823,1.39678,1.04958,1.02027,1.09962,1.82145,27.8655,14.2128,17.7014,34.6941,720,907.337,2004.46,89.8145,10.0164,0.895146
31,0.0112576,1.07253e-05,0.654621,1,0.170435,0.00378353,0.632452,0.084644,0.5,0.042868,0.565405,0.40124,0.294122,0.338976,0.186094,0.0547,1.04895,1.63532,1.01481,0.963,1.23687,1.22646,18.0091,19.5727,15.272,22.8862,720,820.354,1870.27,90,10.2635,0.555626
32,0.0152593,5.25936e-06,0.464783,1,0.281562,0.00506291,0.566366,0.0649492,0.503066,0.0480513,0.606226,0.540984,0.190678,0.221665,0.179589,0.0689966,1.28011,0.815,0.893,1.01757,1.07868,1.30954,53.8915,21.9992,9.94085,9.34524,720,841.884,2312.43,90,9.29129,0.370724
33,0.0292104,1.7047e-05,0.365282,0.371794,0.0668554,0.00555954,0.484976,0.0233643,0.5,0.0246112,0.749786,0.0907954,0.251107,0.349798,0.0552,0.0547,1.2226,1.25867,1.01032,0.963,1.43872,1.71745,32.5258,21.1732,27.4485,10.1604,720,885.431,1989.49,90,14.4102,0.528446
34,0.0325045,1.18761e-05,1,0.675828,0.469879,0.00480069,0.575914,0.0841375,0.5,0.0250718,0.808018,0.53602,0.466608,0.744928,0.167436,0.073716,0.838471,0.815,0.893,0.970358,1.34347,1.46768,37.4162,18.2463,18.4731,8.72563,643.539,765.502,1832.79,90,12.1108,0.106949
35,0.0256322,4.62865e-05,0.828333,0.369979,0.313939,0.00653292,0.180931,0.0222361,0.5,0.020417,0.624653,0.770503,0.395864,0.632767,0.0552,0.0547,0.948652,1.21394,1.18118,0.963,1.71261,1.40977,42.2694,10.4532,11.1151,9.77156,720,786.138,2400,90,13.4928,0.656114
36,0.0173997,6.00927e-06,0.378313,1,0.367517,0.00450345,0.719206,0.231503,0.543388,0.01,0.982172,0.403715,0.46964,0.299105,0.271209,0.0547,1.04365,0.906918,0.893,0.963,1.39305,1.84306,19.1449,8.53491,8.66562,8.99258,720,825.731,2075.79,90,10.3658,0.668518
37,0.0543903,5e-06,0.079702,0.260546,0.401756,0.00446457,0.8,0.341592,0.5,0.0228271,0.797313,0.386013,0.399507,0.40721,0.0829157,0.0547,1.0396,1.45388,0.955785,0.963,1.04082,2.38123,86.3609,13.7025,9.30125,50.9638,720,918.548,2275.94,90,14.5851,0.404517
38,0.0130635,1.81144e-05,0.756316,0.405132,0.117291,0.00413213,0.480365,0.039937,0.5,0.0741579,0.613857,0.108928,0.264249,0.214498,0.0699659,0.0547,0.76,1.63276,0.893,0.963,1.02028,1.49447,52.9825,25.045,14.4343,45.3842,539.204,952.411,2218.15,90,13.6662,0.515123
39,0.027557,8.63032e-06,0.470935,0.234304,0.281264,0.00474725,0.8,0.233498,0.947862,0.115701,0.617914,0.483444,1,0.094734,0.137686,0.0547,0.76,0.855605,1.01508,1.18901,1.08778,1.31911,18.758,28.3035,9.71698,13.7529,720,1068.01,2077.32,90,8.87639,0.655814
40,0.0125206,1.42672e-05,0.288748,0.039952,0.233455,0.00858753,0.8,0.246984,0.5,0.135841,0.738044,0.395112,0.159643,0.280665,0.110228,0.0547,0.858898,1.71679,0.919193,0.963,1.0558,1.42586,82.6159,11.8841,8.17535,11.5116,720,799.149,1630.26,90,12.0321,0.601945
41,0.018943,6.13613e-06,0.313044,0.0864291,0.0635928,0.00647049,0.115868,0.093505,0.5,0.0201682,0.9061,0.301016,0.661968,0.312779,0.128615,0.0547,0.869462,1.04659,0.893,1.04977,1.07249,1.53648,54.0562,26.4412,23.3075,19.3942,690.853,800.569,1932.47,90,11.3193,0.37912
42,0.0157628,5.18038e-06,0.655716,0.573576,0.0727364,0.00638466,0.580913,0.248946,0.630463,0.0168655,0.683164,0.440935,0.699713,0.274335,0.0565087,0.0547,1.05535,0.945614,0.893,0.963,1.2991,1.5677,46.7489,7.01,26.7867,10.7385,720,879.426,2125.26,80.7194,12.4305,0.290385
43,0.019489,9.21727e-06,0.311906,0.413486,0.248398,0.005651,0.8,0.0414707,0.61057,0.0701125,0.307207,0.28911,0.417757,0.274691,0.109696,0.0547,1.1725,1.26876,0.893,0.963,1.12302,1.39392,58.5421,19.4085,10.4186,18.6138,720,862.198,1956.22,86.0625,11.2657,0.961559
44,0.0153554,2.35252e-05,0.115342,0.660403,0.334198,0.00389206,0.8,0.0661157,0.549455,0.0125151,0.0811961,0.394994,0.686281,0.337209,0.0748194,0.0547,0.867104,1.28999,0.893,1.00772,1.09654,1.44696,80.787,17.0462,40.1178,12.1673,555.611,949.086,2132.39,80.5203,13.6083,0.817133
45,0.0206832,1.12749e-05,0.598599,0.621193,0.355031,0.00585596,0.710555,0.0157169,0.619996,0.0431262,0.562774,0.460552,0.501773,0.159591,0.0552,0.0547,1.25199,0.943841,0.893,1.29534,1.0844,1.66257,54.5675,10.9533,17.921,11.4965,712.834,1005.46,2353.93,86.4272,10.4703,0.777758
46,0.0122109,6.52341e-06,0.33493,0.403523,0.470003,0.00429657,0.426794,0.139925,0.977801,0.0342236,0.924869,0.0659839,0.862595,0.194923,0.0552,0.0662501,1.62703,0.885123,0.893,0.963,1.13289,1.57992,20.4735,31.2105,9.79708,46.6451,720,871.265,1970.77,78.1023,12.2411,0.505362
47,0.0122657,6.13408e-06,0.166949,0.0500456,0.282973,0.00409185,0.619824,0.273054,0.627192,0.0295993,0.630196,0.299043,0.6486,0.355322,0.158718,0.0547,0.837361,1.01164,0.893,0.963,1.06572,1.47236,22.5677,45.0345,34.0862,31.3405,712.677,834.597,2114.97,73.1492,12.5144,0.833923
48,0.0102353,6.71974e-06,0.24669,0.263165,0.306578,0.0041233,0.571248,0.0263681,0.5,0.276474,0.199602,0.628921,0.489693,0.273276,0.233222,0.0547,0.899966,1.2079,1.13796,0.963,1.01729,2.11028,33.7529,36.2407,8.73563,7.62178,704.151,857.014,2204.56,86.2147,14.0289,0.210242
49,0.0191273,7.57127e-06,0.57958,0.455189,0.206922,0.00595325,0.505256,0.0803182,0.743156,0.0712874,0.565514,0.188497,0.600693,0.517671,0.0552,0.0547,0.834759,1.44956,0.893,0.963,1.0234,1.53615,75.9585,29.8886,6.56168,16.3122,720,831.911,1846.25,90,14.2835,1.1097
50,0.0189337,7.29508e-06,0.323062,0.349348,0.228437,0.00499442,0.696952,0.0556103,0.549889,0.104717,0.68838,0.400579,0.969306,0.151411,0.116231,0.0658112,1.08029,1.21629,0.893,1.18283,1.06875,1.72904,29.1847,26.4345,19.4985,38.7564,649.215,973.436,1784.14,90,14.3563,0.597593
51,0.0185365,6.37708e-06,0.633093,0.753111,0.219968,0.00811137,0.8,0.057133,0.5,0.0173905,0.442188,0.548578,0.466732,0.732363,0.0552,0.0547,0.914671,1.64793,0.893,0.963,1.06816,1.56198,39.3982,12.9081,9.77771,18.4895,720,905.883,2073.52,90,12.0782,0.504049
52,0.0163306,7.53338e-06,0.286219,0.298082,0.0814937,0.00361074,0.8,0.0255009,0.536288,0.0339788,0.25707,0.392939,0.525218,0.828333,0.342064,0.0547,1.06397,1.16347,1.01069,1.26998,1.08004,1.51285,37.0502,25.3269,10.4629,37.189,676.828,904.274,1884.21,90,13.1127,0.540901
53,0.0206041,5e-06,0.185682,0.281053,0.195171,0.00408799,0.8,0.064571,0.5,0.0267724,0.504166,0.323307,0.419324,0.276773,0.121464,0.0636142,1.05993,1.24978,0.893,0.963,1.10709,1.59538,38.5871,24.6786,11.4648,27.4493,720,898.229,1877.38,75.1342,13.4364,1.57698
54,0.013882,1.04488e-05,0.644564,0.79576,0.176341,0.00343133,0.8,0.212659,0.693306,0.0893981,0.610691,0.0996845,0.600044,0.153045,0.179386,0.0547,0.870191,0.848978,0.893,0.963,1.00978,2.42077,41.6804,7.01,29.5706,9.8945,720,853.577,1927.98,69.2786,12.4564,0.71743
55,0.0243352,6.38133e-06,0.634279,1,0.103192,0.00319513,0.8,0.0711791,0.874031,0.0157813,0.428934,0.219828,0.505753,0.221201,0.174288,0.0547,1.41614,1.48349,1.19377,0.970289,1.12738,1.71534,39.0018,9.63186,9.72303,15.9409,720,1137.39,1908.15,90,11.1815,0.609661
56,0.0128799,8.38957e-06,0.260701,0.526473,0.363465,0.0045726,0.8,0.0971449,0.516216,0.0493657,0.725272,0.190569,0.497645,0.622337,0.0644364,0.0547,1.3165,0.81748,0.893,0.999639,1.02941,1.29673,19.6771,32.8883,11.5594,21.8875,680.753,903.747,2400,90,13.5931,0.608657
57,0.0163238,5e-06,0.641015,0.0194197,0.267219,0.00716028,0.8,0.0245378,0.510928,0.0761436,0.628757,0.612965,0.389246,0.658298,0.227046,0.0547,1.01296,0.898357,0.893,0.963,1.06936,1.52469,39.7245,30.8721,16.7097,9.17785,720,923.904,1790.81,90,14.017,0.518443
58,0.01412,6.05922e-06,0.165749,0.345073,0.217939,0.0033061,0.8,0.115546,0.5,0.0585773,0.576011,0.211931,0.339644,0.273444,0.128018,0.0547,0.775487,1.36805,0.893,0.987515,1.02331,1.45491,83.5107,18.0414,8.78789,6.65537,709.201,957.09,1749.25,37.7126,10.0455,0.491047
59,0.01,6.67024e-06,0.786372,0.248368,0.158698,0.00600193,0.8,0.0442218,0.898902,0.0277728,0.772464,0.338726,0.830795,0.124761,0.0702536,0.0547,1.38524,0.998898,0.893,0.963,1.05283,1.59096,44.5062,17.3535,26.0012,20.9741,679.527,875.397,2301.79,90,13.9403,0.679272
60,0.0107618,5.62433e-06,0.535148,0.211103,0.320881,0.0031651,0.8,0.0858361,0.5,0.0431871,0.0718792,0.179629,0.731162,0.0638294,0.0552,0.0627404,0.900626,0.970066,0.893,0.963,1.06786,1.75274,33.5973,10.6132,50.7638,6.6661,567.545,990.928,2211.73,90,13.4716,0.325876
61,0.0242008,1.22821e-05,0.580842,0.982188,0.215176,0.0163935,0.8,0.0326896,0.5,0.0421983,0.813119,0.355633,0.778225,0.279296,0.0552,0.107467,0.937606,0.866212,0.893,0.963,1.01726,1.48768,20.0515,44.1742,7.88257,15.9025,708.925,1023.39,2183.94,74.2534,9.71056,0.368915
62,0.0248406,1.14791e-05,0.319733,0.179811,0.333387,0.00639191,0.8,0.182142,0.663507,0.0475756,0.404691,0.295156,0.636434,0.239083,0.085702,0.0547,1.05555,1.05352,0.893,0.963,1.16118,1.52524,35.8588,15.4092,11.7272,30.8666,704.41,963.871,1731.07,90,12.5901,1.04358
63,0.0176953,5e-06,0.494169,0.386393,0.238762,0.00416105,0.8,0.120789,0.5,0.0152618,0.680837,0.229922,0.27878,0.481089,0.0721033,0.0547,0.967095,1.67312,1.15602,0.963,1.30076,1.4069,19.5798,13.8675,21.916,90.2935,720,978.522,1735.8,90,13.2918,0.290467
