name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa1833,5.483,8.92653e-16,5.483,5.483,5.483,5.483,3.86436,0.427595,1.968,5.081,3.43676,4.29196,0.402
qa1846,4.427,2.67796e-15,4.427,4.427,4.427,4.427,3.1888,0.444089,1.335,4.343,2.74471,3.63289,0.084
qa1847,4.27,2.67796e-15,4.27,4.27,4.27,4.27,3.00747,0.44473,1.213,4.188,2.56274,3.4522,0.082
qa1848,4.113,0,4.113,4.113,4.113,4.113,2.84561,0.438902,1.142,4.032,2.40671,3.28451,0.081
qa1849,3.956,1.78531e-15,3.956,3.956,3.956,3.956,2.69949,0.435148,1.045,3.874,2.26434,3.13464,0.082
qa1850,3.799,2.23163e-15,3.799,3.799,3.799,3.799,2.56067,0.435248,0.9701,3.714,2.12542,2.99592,0.085
qa1851,3.799,2.23163e-15,3.799,3.799,3.799,3.799,2.43655,0.43222,0.9322,3.617,2.00433,2.86877,0.182
qa1852,3.641,8.92653e-16,3.641,3.641,3.641,3.641,2.32124,0.434066,0.8239,3.481,1.88717,2.7553,0.16
qa1853,3.484,0,3.484,3.484,3.484,3.484,2.21909,0.430825,0.8229,3.35,1.78826,2.64991,0.134
qa1854,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.11939,0.427685,0.7522,3.216,1.6917,2.54707,0.111
qa1855,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.02779,0.426292,0.7211,3.134,1.6015,2.45408,0.193
qa1856,3.327,1.33898e-15,3.327,3.327,3.327,3.327,1.94509,0.422598,0.6908,3.078,1.52249,2.36769,0.249
qa1857,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.86712,0.419663,0.6485,3.02,1.44746,2.28679,0.15
qa1858,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.79285,0.416282,0.6284,2.936,1.37657,2.20914,0.234
qa1859,3.013,4.46326e-16,3.013,3.013,3.013,3.013,1.75224,0.405809,0.6831,2.904,1.34643,2.15805,0.109
qa1873,3.956,1.78531e-15,3.956,3.956,3.956,3.956,2.6893,0.293175,1.675,3.454,2.39612,2.98248,0.502
qa1874,4.113,0,4.113,4.113,4.113,4.113,2.56232,0.299054,1.514,3.353,2.26327,2.86137,0.76
qa1875,4.27,2.67796e-15,4.27,4.27,4.27,4.27,3.03613,0.23167,2.544,3.655,2.80446,3.2678,0.615
qa1879,11.65,0,11.65,11.65,11.65,11.65,6.47394,1.21482,4.258,11.57,5.25912,7.68876,0.08
qa1880,16.43,3.57061e-15,16.43,16.43,16.43,16.43,6.4616,1.08435,4.297,10.39,5.37725,7.54595,6.04
qa1881,12.145,0,12.145,12.145,12.145,12.145,6.28901,0.944579,4.321,9.554,5.34443,7.23359,2.591
qa1882,10.208,0,10.208,10.208,10.208,10.208,6.01461,0.814993,4.296,8.882,5.19962,6.8296,1.326
qa1883,8.407,3.57061e-15,8.407,8.407,8.407,8.407,5.74774,0.72127,4.231,8.226,5.02647,6.46901,0.181
qa1884,7.8,2.67796e-15,7.8,7.8,7.8,7.8,5.52078,0.657014,4.198,7.683,4.86377,6.17779,0.117
qa1885,7.192,4.46326e-15,7.192,7.192,7.192,7.192,5.25299,0.60608,4.107,7.075,4.64691,5.85907,0.117
qa1904,18.483,0,18.483,18.483,18.483,18.483,10.2385,1.84589,6.565,16.24,8.39257,12.0844,2.243
qa1913,9.983,1.78531e-15,9.983,9.983,9.983,9.983,7.10498,0.995098,3.975,9.142,6.10988,8.10008,0.841
qa1954,8.002,1.78531e-15,8.002,8.002,8.002,8.002,4.53671,0.651977,2.768,6.388,3.88473,5.18869,1.614
qa1955,6.585,8.92653e-16,6.585,6.585,6.585,6.585,4.39642,0.64099,2.727,6.083,3.75543,5.03741,0.502
qa1972,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.20946,0.491727,1.06,3.293,1.71773,2.70119,0.034
qa1973,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.1546,0.477694,1.072,3.232,1.67691,2.63229,0.095
qa1974,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.05965,0.476454,0.9888,3.138,1.58319,2.5361,0.189
qa1975,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.17929,0.447924,1.197,3.233,1.73137,2.62721,0.094
qa1977,3.484,0,3.484,3.484,3.484,3.484,2.38917,0.456735,1.337,3.284,1.93243,2.84591,0.2
qa1978,3.327,1.33898e-15,3.327,3.327,3.327,3.327,2.31844,0.459728,1.242,3.251,1.85871,2.77817,0.076
qa1980,3.17,1.33898e-15,3.17,3.17,3.17,3.17,2.12872,0.45605,1.087,3.083,1.67267,2.58477,0.087
qa1981,3.013,4.46326e-16,3.013,3.013,3.013,3.013,2.02837,0.453612,0.9961,3.001,1.57476,2.48198,0.012
qa1982,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.9382,0.447261,0.9273,2.931,1.49094,2.38546,0.239
qa1983,3.17,1.33898e-15,3.17,3.17,3.17,3.17,1.97111,0.446529,1.012,2.949,1.52458,2.41764,0.221
qa1984,3.641,8.92653e-16,3.641,3.641,3.641,3.641,2.1639,0.470769,1.14,3.232,1.69313,2.63467,0.409
qa1985,4.764,1.78531e-15,4.764,4.764,4.764,4.764,2.16294,0.481635,1.12,3.33,1.6813,2.64458,1.434
