iteration,total_runs,obs_realization,par_realization,streamflowa,streamflowb,streamflowc,streamflowd,streamflowe,gwhead
0,100,0,0,55131.3,19786.6,20336.4,14860,5093.62,100190
0,100,1,1,86020.4,36304,34501.4,27664.5,12685.7,19477.1
0,100,2,2,59688.5,80256.6,237641,301385,222046,5131.37
0,100,3,3,94805.3,13718.3,23032.2,30338.8,8233.08,8763.37
0,100,4,4,103624,48277,53120.4,46798.3,83560,3611.64
0,100,5,5,64890.3,53215.4,48840.4,36971.6,14359.5,8717.08
0,100,6,6,72479.6,11183.2,16190.3,9387.68,8658.94,43453.6
0,100,7,7,65278.4,20258.3,25060.9,29841.2,12525.7,8970.77
0,100,8,8,113053,22724.4,34780.5,45759,17174.4,4288.1
0,100,9,9,43740.1,56341.2,54461.7,38220.7,22675.1,168156
0,100,10,10,58784.6,15044.6,16048,13976.9,3734.63,31864.7
0,100,11,11,52802.8,118421,132933,168455,198240,23537.5
0,100,12,12,72098.9,65036.9,87845.1,58951.8,111177,9258.58
0,100,13,13,109089,141364,114166,83003.7,38331.8,9708.27
0,100,14,14,54352.3,82597,104613,48486.1,60724.7,876144
0,100,15,15,51479.9,74937.5,72147,64562,90436.7,134327
0,100,16,16,41895.5,51024.3,51510.2,38791,13644.1,15710.2
0,100,17,17,104625,18936.2,30620.8,20688.2,37440.6,14835.7
0,100,18,18,53728,95581.8,80313.4,65062.1,114920,17254.4
0,100,19,19,74188,21245.3,25723.8,25074.6,37035.3,10222.5
0,100,20,20,42127.8,86573.8,72332.5,60331.8,34642.4,19979.8
0,100,21,21,55879,57837.2,56222.2,53407.4,44521,7731.33
0,100,22,22,99499.9,28319.2,30083.2,17965.1,8878.39,9413.09
0,100,23,23,90153,39399.4,55306.3,33935.9,47340.9,21100
0,100,24,24,42991.5,121761,105063,88030.1,91056.8,5599.88
0,100,25,25,68365.8,22648,25173.7,17209.4,19130.6,8147.91
0,100,26,26,44543.7,62104.2,55150.9,32827.9,24811.6,4879.24
0,100,27,27,37381.8,49322.7,69414.8,97240.2,34379.9,461899
0,100,28,28,51993.3,34508.6,37659.4,20089.9,15641,14156.5
0,100,29,29,66836,15335,25074.7,32079.8,10296.2,8274.54
