iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,10,10,406462,313924,0.75,1,260790,55337
1,10,10,406462,313924,1,1,294445,82472.6
1,10,10,406462,313924,1.1,1,306289,100745
1,10,10,406462,313924,0.75,10,255676,51466.2
1,10,10,406462,313924,1,10,286622,78845.7
1,10,10,406462,313924,1.1,10,294937,91260
1,10,10,406462,313924,0.75,100,236772,45030.9
1,10,10,406462,313924,1,100,241984,31385.2
1,10,10,406462,313924,1.1,100,246118,38128.9
2,10,75,229804,86390,0.75,7.5,190295,55468.8
2,10,75,229804,86390,1,7.5,183078,26985.5
2,10,75,229804,86390,1.1,7.5,201353,60294.7
2,10,75,229804,86390,0.75,75,175695,69002.3
2,10,75,229804,86390,1,75,164187,19376.9
2,10,75,229804,86390,1.1,75,194494,72212.7
2,10,75,229804,86390,0.75,750,139594,13932
2,10,75,229804,86390,1,750,149601,24077.8
2,10,75,229804,86390,1.1,750,153232,27253.9
3,10,562.5,154979,38575,0.75,56.25,137222,26195.8
3,10,562.5,154979,38575,1,56.25,134425,20055.6
3,10,562.5,154979,38575,1.1,56.25,147458,52815.9
3,10,562.5,154979,38575,0.75,562.5,126077,17045.6
3,10,562.5,154979,38575,1,562.5,144322,59359.9
3,10,562.5,154979,38575,1.1,562.5,142880,54533.2
3,10,562.5,154979,38575,0.75,5625,130318,17356.9
3,10,562.5,154979,38575,1,5625,127734,12326.6
3,10,562.5,154979,38575,1.1,5625,127690,11904.4
