name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa1884,7.8,2.67796e-15,7.8,7.8,7.8,7.8,5.16143,1.15243,2.604,7.729,4.009,6.31386,0.071
qa1885,7.192,4.46326e-15,7.192,7.192,7.192,7.192,4.74375,1.07552,2.193,7.101,3.66823,5.81927,0.091
qa1886,6.585,8.92653e-16,6.585,6.585,6.585,6.585,4.35833,1.04216,1.822,6.524,3.31617,5.40049,0.061
qa1887,6.202,8.92653e-16,6.202,6.202,6.202,6.202,4.01795,1.02046,1.557,6.192,2.99749,5.03841,0.01
qa1913,9.983,1.78531e-15,9.983,9.983,9.983,9.983,5.58528,1.52371,2.232,9.202,4.06157,7.10899,0.781
qa1985,4.764,1.78531e-15,4.764,4.764,4.764,4.764,2.34268,0.815976,0.7129,4.542,1.5267,3.15866,0.222
qa2346,1.962,1.11582e-15,1.962,1.962,1.962,1.962,0.721868,0.343294,0.2006,1.83,0.378574,1.06516,0.132
qa2349,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.669357,0.323911,0.1225,1.692,0.345446,0.993268,0.024
qa2352,1.631,0,1.631,1.631,1.631,1.631,0.623631,0.310546,0.068,1.597,0.313085,0.934177,0.034
qa2353,1.631,0,1.631,1.631,1.631,1.631,0.611536,0.304234,0.0427,1.57,0.307302,0.91577,0.061
qa2354,1.631,0,1.631,1.631,1.631,1.631,0.599828,0.301944,0.0378,1.554,0.297884,0.901772,0.077
qa2355,1.631,0,1.631,1.631,1.631,1.631,0.587268,0.296434,0.0351,1.542,0.290834,0.883702,0.089
qa2356,1.546,4.46326e-16,1.546,1.546,1.546,1.546,0.575255,0.290134,0.0328,1.485,0.285121,0.865389,0.061
qa2357,1.546,4.46326e-16,1.546,1.546,1.546,1.546,0.56462,0.286431,0.0317,1.456,0.278189,0.851051,0.09
qa2358,1.546,4.46326e-16,1.546,1.546,1.546,1.546,0.555643,0.282683,0.0281,1.451,0.27296,0.838326,0.095
qa2359,1.546,4.46326e-16,1.546,1.546,1.546,1.546,0.547921,0.278831,0.0266,1.425,0.26909,0.826752,0.121
qa2360,1.546,4.46326e-16,1.546,1.546,1.546,1.546,0.536103,0.273626,0.0257,1.387,0.262477,0.809729,0.159
