date,obs_flow,name
2011-01-01,37.855,Entrepeñas
2011-02-01,41.637,Entrepeñas
2011-03-01,65.067,Entrepeñas
2011-04-01,47.208,Entrepeñas
2011-05-01,48.137,Entrepeñas
2011-06-01,38.059,Entrepeñas
2011-07-01,22.629,Entrepeñas
2011-08-01,18.377,Entrepeñas
2011-09-01,15.076,Entrepeñas
2011-10-01,14.202,Entrepeñas
2011-11-01,17.242,Entrepeñas
2011-12-01,15.822,Entrepeñas
2012-01-01,13.117,Entrepeñas
2012-02-01,12.129,Entrepeñas
2012-03-01,15.621,Entrepeñas
2012-04-01,22.147,Entrepeñas
2012-05-01,26.056,Entrepeñas
2012-06-01,18.132,Entrepeñas
2012-07-01,14.781,Entrepeñas
2012-08-01,12.318,Entrepeñas
2012-09-01,10.242,Entrepeñas
2012-10-01,11.458,Entrepeñas
2012-11-01,21.601,Entrepeñas
2012-12-01,18.962,Entrepeñas
2013-01-01,33.492,Entrepeñas
2013-02-01,35.538,Entrepeñas
2013-03-01,122.646,Entrepeñas
2013-04-01,104.019,Entrepeñas
2013-05-01,55.178,Entrepeñas
2013-06-01,31.42,Entrepeñas
2013-07-01,24.372,Entrepeñas
2013-08-01,20.199,Entrepeñas
2013-09-01,17.282,Entrepeñas
2013-10-01,14.652,Entrepeñas
2013-11-01,12.663,Entrepeñas
2013-12-01,20.261,Entrepeñas
2014-01-01,46.504,Entrepeñas
2014-02-01,102.467,Entrepeñas
2014-03-01,54.481,Entrepeñas
2014-04-01,34.034,Entrepeñas
2014-05-01,27.816,Entrepeñas
2014-06-01,23.639,Entrepeñas
2014-07-01,19.801,Entrepeñas
2014-08-01,14.419,Entrepeñas
2014-09-01,14.686,Entrepeñas
2014-10-01,15.59,Entrepeñas
2014-11-01,21.112,Entrepeñas
2014-12-01,29.017,Entrepeñas
2015-01-01,21.455,Entrepeñas
2015-02-01,44.18,Entrepeñas
2015-03-01,37.513,Entrepeñas
2015-04-01,27.524,Entrepeñas
2015-05-01,22.32,Entrepeñas
2015-06-01,18.61,Entrepeñas
2015-07-01,11.603,Entrepeñas
2015-08-01,10.684,Entrepeñas
2015-09-01,10.401,Entrepeñas
2015-10-01,11.431,Entrepeñas
2015-11-01,11.064,Entrepeñas
2015-12-01,9.848,Entrepeñas
2016-01-01,26.476,Entrepeñas
2016-02-01,56.2,Entrepeñas
2016-03-01,58.665,Entrepeñas
2016-04-01,62.534,Entrepeñas
2016-05-01,53.965,Entrepeñas
2016-06-01,24.906,Entrepeñas
2016-07-01,16.82,Entrepeñas
2016-08-01,12.756,Entrepeñas
2016-09-01,11.922,Entrepeñas
2016-10-01,12.462,Entrepeñas
2016-11-01,16.585,Entrepeñas
2016-12-01,13.453,Entrepeñas
2017-01-01,11.931,Entrepeñas
2017-02-01,22.386,Entrepeñas
2017-03-01,20.109,Entrepeñas
2017-04-01,16.693,Entrepeñas
2017-05-01,16.027,Entrepeñas
2017-06-01,11.975,Entrepeñas
2017-07-01,9.734,Entrepeñas
2017-08-01,7.099,Entrepeñas
2017-09-01,7.69,Entrepeñas
2017-10-01,8.583,Entrepeñas
2017-11-01,8.534,Entrepeñas
2017-12-01,9.317,Entrepeñas
2018-01-01,10.925,Entrepeñas
2018-02-01,10.719,Entrepeñas
2018-03-01,126.946,Entrepeñas
2018-04-01,137.882,Entrepeñas
2018-05-01,51.384,Entrepeñas
2018-06-01,63.185,Entrepeñas
2018-07-01,28.255,Entrepeñas
2018-08-01,19.072,Entrepeñas
2018-09-01,18.345,Entrepeñas
2018-10-01,16.601,Entrepeñas
2018-11-01,34.857,Entrepeñas
2018-12-01,25.363,Entrepeñas
2019-01-01,23.812,Entrepeñas
2019-02-01,34.342,Entrepeñas
2019-03-01,23.531,Entrepeñas
2019-04-01,64.107,Entrepeñas
2019-05-01,43.917,Entrepeñas
2019-06-01,21.426,Entrepeñas
2019-07-01,15.942,Entrepeñas
2019-08-01,13.494,Entrepeñas
2019-09-01,12.891,Entrepeñas
2019-10-01,11.449,Entrepeñas
2019-11-01,15.829,Entrepeñas
2019-12-01,63.287,Entrepeñas
2011-01-01,36.962,Buendia
2011-02-01,38.387,Buendia
2011-03-01,50.23,Buendia
2011-04-01,33.76,Buendia
2011-05-01,31.969,Buendia
2011-06-01,24.023,Buendia
2011-07-01,11.818,Buendia
2011-08-01,13.515,Buendia
2011-09-01,11.472,Buendia
2011-10-01,11.99,Buendia
2011-11-01,16.474,Buendia
2011-12-01,12.252,Buendia
2012-01-01,12.116,Buendia
2012-02-01,16.094,Buendia
2012-03-01,15.028,Buendia
2012-04-01,18.276,Buendia
2012-05-01,21.613,Buendia
2012-06-01,11.254,Buendia
2012-07-01,12.64,Buendia
2012-08-01,12.348,Buendia
2012-09-01,8.966,Buendia
2012-10-01,10.155,Buendia
2012-11-01,16.451,Buendia
2012-12-01,15.948,Buendia
2013-01-01,31.041,Buendia
2013-02-01,32.255,Buendia
2013-03-01,116.674,Buendia
2013-04-01,86.916,Buendia
2013-05-01,35.237,Buendia
2013-06-01,23.242,Buendia
2013-07-01,18.357,Buendia
2013-08-01,15.397,Buendia
2013-09-01,13.408,Buendia
2013-10-01,13.348,Buendia
2013-11-01,8.683,Buendia
2013-12-01,15.79,Buendia
2014-01-01,43.973,Buendia
2014-02-01,93.834,Buendia
2014-03-01,52.347,Buendia
2014-04-01,30.686,Buendia
2014-05-01,23.783,Buendia
2014-06-01,17.588,Buendia
2014-07-01,16.671,Buendia
2014-08-01,15,Buendia
2014-09-01,12.522,Buendia
2014-10-01,14.602,Buendia
2014-11-01,18.866,Buendia
2014-12-01,22.345,Buendia
2015-01-01,19.719,Buendia
2015-02-01,36.431,Buendia
2015-03-01,27.336,Buendia
2015-04-01,19.811,Buendia
2015-05-01,16.613,Buendia
2015-06-01,15.047,Buendia
2015-07-01,10.097,Buendia
2015-08-01,9.517,Buendia
2015-09-01,8.125,Buendia
2015-10-01,8.18,Buendia
2015-11-01,9.396,Buendia
2015-12-01,8.576,Buendia
2016-01-01,22.072,Buendia
2016-02-01,61.415,Buendia
2016-03-01,44.971,Buendia
2016-04-01,53.434,Buendia
2016-05-01,46.429,Buendia
2016-06-01,24.413,Buendia
2016-07-01,12.352,Buendia
2016-08-01,13.071,Buendia
2016-09-01,10.761,Buendia
2016-10-01,11.829,Buendia
2016-11-01,13.353,Buendia
2016-12-01,12.554,Buendia
2017-01-01,10.19,Buendia
2017-02-01,19.728,Buendia
2017-03-01,16.5,Buendia
2017-04-01,14.655,Buendia
2017-05-01,12.851,Buendia
2017-06-01,8.304,Buendia
2017-07-01,9.087,Buendia
2017-08-01,7.324,Buendia
2017-09-01,5.644,Buendia
2017-10-01,5.912,Buendia
2017-11-01,6.641,Buendia
2017-12-01,7.658,Buendia
2018-01-01,9.625,Buendia
2018-02-01,8.695,Buendia
2018-03-01,102.541,Buendia
2018-04-01,114.321,Buendia
2018-05-01,40.105,Buendia
2018-06-01,30.989,Buendia
2018-07-01,16.952,Buendia
2018-08-01,14.264,Buendia
2018-09-01,18.668,Buendia
2018-10-01,11.854,Buendia
2018-11-01,27.095,Buendia
2018-12-01,47.958,Buendia
2019-01-01,20.948,Buendia
2019-02-01,29.546,Buendia
2019-03-01,19.761,Buendia
2019-04-01,42.753,Buendia
2019-05-01,28.811,Buendia
2019-06-01,15.627,Buendia
2019-07-01,16.064,Buendia
2019-08-01,12.91,Buendia
2019-09-01,10.631,Buendia
2019-10-01,9.889,Buendia
2019-11-01,11.778,Buendia
2019-12-01,56.548,Buendia
2011-01-01,47.706,Bolarque
2011-02-01,39.466,Bolarque
2011-03-01,51.235,Bolarque
2011-04-01,66.791,Bolarque
2011-05-01,75.989,Bolarque
2011-06-01,87.088,Bolarque
2011-07-01,113.076,Bolarque
2011-08-01,106.244,Bolarque
2011-09-01,62.816,Bolarque
2011-10-01,57.861,Bolarque
2011-11-01,66.407,Bolarque
2011-12-01,56.221,Bolarque
2012-01-01,59.008,Bolarque
2012-02-01,73.446,Bolarque
2012-03-01,82.269,Bolarque
2012-04-01,79.782,Bolarque
2012-05-01,89.454,Bolarque
2012-06-01,98.06,Bolarque
2012-07-01,128.221,Bolarque
2012-08-01,125.793,Bolarque
2012-09-01,60.031,Bolarque
2012-10-01,50.548,Bolarque
2012-11-01,52.883,Bolarque
2012-12-01,78.365,Bolarque
2013-01-01,66.251,Bolarque
2013-02-01,55.898,Bolarque
2013-03-01,78.923,Bolarque
2013-04-01,84.403,Bolarque
2013-05-01,56.251,Bolarque
2013-06-01,92.14,Bolarque
2013-07-01,126.97,Bolarque
2013-08-01,119.685,Bolarque
2013-09-01,90.307,Bolarque
2013-10-01,48.679,Bolarque
