date,obs_flow,name
2011-01-01,4.427,1 Peralejos
2011-01-02,4.27,1 Peralejos
2011-01-03,4.113,1 Peralejos
2011-01-04,3.956,1 Peralejos
2011-01-05,3.799,1 Peralejos
2011-01-06,4.113,1 Peralejos
2011-01-07,5.483,1 Peralejos
2011-01-08,5.483,1 Peralejos
2011-01-09,6.022,1 Peralejos
2011-01-10,6.585,1 Peralejos
2011-01-11,6.382,1 Peralejos
2011-01-12,6.202,1 Peralejos
2011-01-13,6.022,1 Peralejos
2011-01-14,5.483,1 Peralejos
2011-01-15,5.123,1 Peralejos
2011-01-16,4.764,1 Peralejos
2011-01-17,4.584,1 Peralejos
2011-01-18,4.584,1 Peralejos
2011-01-19,4.427,1 Peralejos
2011-01-20,4.427,1 Peralejos
2011-01-21,4.27,1 Peralejos
2011-01-22,4.113,1 Peralejos
2011-01-23,3.956,1 Peralejos
2011-01-24,3.799,1 Peralejos
2011-01-25,3.799,1 Peralejos
2011-01-26,3.641,1 Peralejos
2011-01-27,3.484,1 Peralejos
2011-01-28,3.327,1 Peralejos
2011-01-29,3.327,1 Peralejos
2011-01-30,3.327,1 Peralejos
2011-01-31,3.17,1 Peralejos
2011-02-01,3.17,1 Peralejos
2011-02-02,3.013,1 Peralejos
2011-02-03,3.013,1 Peralejos
2011-02-04,2.873,1 Peralejos
2011-02-05,2.873,1 Peralejos
2011-02-06,2.873,1 Peralejos
2011-02-07,2.873,1 Peralejos
2011-02-08,2.873,1 Peralejos
2011-02-09,2.873,1 Peralejos
2011-02-10,2.873,1 Peralejos
2011-02-11,3.013,1 Peralejos
2011-02-12,3.013,1 Peralejos
2011-02-13,3.013,1 Peralejos
2011-02-14,3.17,1 Peralejos
2011-02-15,3.484,1 Peralejos
2011-02-16,3.956,1 Peralejos
2011-02-17,4.113,1 Peralejos
2011-02-18,4.27,1 Peralejos
2011-02-19,4.427,1 Peralejos
2011-02-20,7.395,1 Peralejos
2011-02-21,8.632,1 Peralejos
2011-02-22,11.65,1 Peralejos
2011-02-23,16.43,1 Peralejos
2011-02-24,12.145,1 Peralejos
2011-02-25,10.208,1 Peralejos
2011-02-26,8.407,1 Peralejos
2011-02-27,7.8,1 Peralejos
2011-02-28,7.192,1 Peralejos
2011-03-01,6.585,1 Peralejos
2011-03-02,6.202,1 Peralejos
2011-03-03,5.663,1 Peralejos
2011-03-04,5.303,1 Peralejos
2011-03-05,4.944,1 Peralejos
2011-03-06,4.764,1 Peralejos
2011-03-07,4.764,1 Peralejos
2011-03-08,4.764,1 Peralejos
2011-03-09,4.584,1 Peralejos
2011-03-10,4.584,1 Peralejos
2011-03-11,4.427,1 Peralejos
2011-03-12,4.764,1 Peralejos
2011-03-13,5.303,1 Peralejos
2011-03-14,5.483,1 Peralejos
2011-03-15,6.382,1 Peralejos
2011-03-16,8.857,1 Peralejos
2011-03-17,12.889,1 Peralejos
2011-03-18,18.776,1 Peralejos
2011-03-19,18.483,1 Peralejos
2011-03-20,13.408,1 Peralejos
2011-03-21,11.154,1 Peralejos
2011-03-22,9.983,1 Peralejos
2011-03-23,8.632,1 Peralejos
2011-03-24,8.205,1 Peralejos
2011-03-25,8.205,1 Peralejos
2011-03-26,8.002,1 Peralejos
2011-03-27,8.205,1 Peralejos
2011-03-28,9.983,1 Peralejos
